Altium Designer Pick and Place Locations
D:\Projekte\UltraZohm\Work_Altium\uz_d_voltage_3v3\Project Outputs for UZ_D_Voltage_3V3\Rev01\Pick Place\Pick Place for UZ_D_Voltage_3V3(Default).csv

========================================================================================================================
File Design Information:

Date:       31.01.24
Time:       09:36
Revision:   995ffe6a2f07d9be4f9415fb381999f86b82b83a
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F3","1812_PTC_Polyfuse_Littelfuse","13.7000","13.7000","76.4000","76.4000","11.3100","76.4000","0","Littelfuse_PTC_1812","TopLayer"
"F2","1812_PTC_Polyfuse_Littelfuse","13.7000","13.7000","80.7000","80.7000","11.3100","80.7000","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","13.7000","13.7000","85.0000","85.0000","11.3100","85.0000","0","Littelfuse_PTC_1812","TopLayer"
"C1","C_0603","16.6000","16.6000","35.2972","35.2972","17.3000","35.2972","180","100 nF","TopLayer"
"U1","D0008A_N","14.5000","14.5000","31.9000","31.9000","11.7750","33.8050","0","M24C02-WMN6TP","TopLayer"
"X2","IPL1-115-01-XX-D-RA","145.0000","134.0780","76.9000","76.9000","135.3480","94.6800","270","IPL1-115-01-L-D-RA-K","TopLayer"
"X3","IPL1-120-01-XX-D-RA","145.0000","134.0780","29.4000","29.4000","135.3480","53.5300","270","IPL1-120-01-L-D-RA-K","TopLayer"
"R38","RES_0603_1608","120.8000","120.8000","6.4967","6.4967","120.1500","6.4967","0","39R","TopLayer"
"R37","RES_0603_1608","120.8000","120.8000","9.0225","9.0225","120.1500","9.0225","0","39R","TopLayer"
"R36","RES_0603_1608","120.8000","120.8000","11.5483","11.5483","120.1500","11.5483","0","39R","TopLayer"
"R35","RES_0603_1608","120.8000","120.8000","14.0741","14.0741","120.1500","14.0741","0","39R","TopLayer"
"R34","RES_0603_1608","120.8000","120.8000","16.5999","16.5999","120.1500","16.5999","0","39R","TopLayer"
"R33","RES_0603_1608","120.8000","120.8000","19.1257","19.1257","120.1500","19.1257","0","39R","TopLayer"
"R32","RES_0603_1608","120.8000","120.8000","21.6515","21.6515","120.1500","21.6515","0","39R","TopLayer"
"R31","RES_0603_1608","120.8000","120.8000","24.1773","24.1773","120.1500","24.1773","0","39R","TopLayer"
"R30","RES_0603_1608","120.8000","120.8000","26.7031","26.7031","120.1500","26.7031","0","39R","TopLayer"
"R29","RES_0603_1608","120.7999","120.7999","31.7832","31.7832","120.1499","31.7832","0","39R","TopLayer"
"R28","RES_0603_1608","120.7999","120.7999","34.3232","34.3232","120.1499","34.3232","0","39R","TopLayer"
"R27","RES_0603_1608","120.7999","120.7999","36.8632","36.8632","120.1499","36.8632","0","39R","TopLayer"
"R26","RES_0603_1608","120.7999","120.7999","39.4032","39.4032","120.1499","39.4032","0","39R","TopLayer"
